Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,2733.000000,2733.000000,2664.500000,2685.500000,2685.500000,3859
2020-10-22,2670.500000,2710.500000,2645.000000,2657.500000,2657.500000,3779
2020-10-23,2693.500000,2700.000000,2656.500000,2669.000000,2669.000000,4160
